Ratio	TotalEnergy(eV)
100	-3068.104266
101	-3068.195342
102	-3068.251339
103	-3068.273472
104	-3068.264400
105	-3068.228277
95	-3067.060396
96	-3067.347543
97	-3067.594935
98	-3067.804656
99	-3067.974689
